"","date","mean_ind","mean_health","mean_info","mean_comm","mean_con","mean_ut","mean_fin","mean_mat","mean_rlest","mean_constpl","mean_nrg"
"83",2020-04-30,9169221.26760563,4408092.66129032,6948568.92,12363896.3076923,10058052.7540984,3080068.17857143,5933177.86153846,3754735.10714286,3256330.53333333,6173400.4516129,18182279.3478261
"84",2020-05-01,7273726.11267606,3239690.67741935,6430671.61333333,8250365.46153846,7831538.47540984,2342546.92857143,5193304.24615385,3129888.67857143,2672796.63333333,4111549.5483871,12965826.9130435
"85",2020-05-04,8814874.29577465,2728275.74193548,5111720.02666667,7949849.46153846,7579012.37704918,2377454.35714286,5166494.4,3067150.64285714,2347495.23333333,4431931.25806452,12750796.3478261
"86",2020-05-05,6881771.47887324,2902612.62903226,5190370.05333333,8185590.46153846,10247833.5081967,2464118.82142857,5324701.44615385,3403042.64285714,2507287.83333333,3789118.5483871,14347610
"87",2020-05-06,6517776.05633803,3047631.0483871,5125698.16,10824718.6923077,8688528.72131148,3090993.78571429,5450499.09230769,2611063.5,2709531.76666667,3993050.96774194,11222424.5217391
"88",2020-05-07,6230249.02816901,3259717.29032258,5395567.29333333,9371795.23076923,7220219.8852459,3941570.82142857,5490881.32307692,2997100.82142857,3244467.1,4327756.74193548,11374849.3043478
"89",2020-05-08,5648023.73239437,2900782.79032258,5019781.64,7633963.19230769,7871525.75409836,3226557.60714286,4936793.33846154,2777075.28571429,2715251.96666667,3664003.29032258,10256198.0434783
"90",2020-05-11,5052129.16901408,3472429.06451613,5313903.28,7502277.80769231,7034220.73770492,3016382,5855119.16923077,2860918.32142857,3021514.4,3352483.58064516,8941086.86956522
"91",2020-05-12,5450032.35211268,3125164.5483871,5348610.64,7283136.73076923,6156836.83606557,3771776.32142857,6361778.49230769,3063773.21428571,3772172.96666667,3633357.90322581,10994306.7391304
"92",2020-05-13,8921663.54929577,3473968.75806452,6944699.97333333,10037372.7307692,8854987.18032787,3704549.5,8711335.61538462,3094416.03571429,4138213.8,4442190.90322581,13216741
"93",2020-05-14,8336883.61971831,3126915.9516129,6637081.33333333,8803888.69230769,8778177.91803279,3547657.17857143,8432088.16923077,3855912.60714286,3597193.9,4458916.87096774,10749077.9130435
"94",2020-05-15,6917684.61971831,4046312.17741935,7481829.90666667,8548993.5,7686932.67213115,5797173.07142857,6564788.6,3051208.39285714,4287807.86666667,6717598.4516129,10364775.173913
"95",2020-05-18,10080582.5352113,3370774.83870968,5926476.56,9587408.84615385,11108898.1311475,3236339.17857143,7126219.83076923,4134373.53571429,3797890.1,5604206.61290323,14029129
"96",2020-05-19,7240351.25352113,2743909.53225806,5314532.17333333,9333517.73076923,8341557.14754098,2477783.39285714,5304997.04615385,3196857.32142857,2709431.43333333,4545166.90322581,10248725.6956522
"97",2020-05-20,5789035.12676056,3007379.46774194,5511317.93333333,10653746.7307692,8238619.90163934,2583893.89285714,5316189.63076923,3263048.96428571,2958759.5,4372382.41935484,11036449.5652174
"98",2020-05-21,5913394.92957747,3182738.56451613,4733528.18666667,9751051.11538462,9464697.85245902,2429917.28571429,4685945.92307692,3056073.57142857,2604841.4,4056964.06451613,10165511.6956522
"99",2020-05-22,4506067.77464789,2554902.85483871,4293344.69333333,6778756.38461538,7045165.67213115,2084632.89285714,4129060.29230769,2336275.78571429,2260976.56666667,2972316.06451613,7463149.43478261
"100",2020-05-26,8701393.71830986,3465393.30645161,5835837.86666667,9877478.15384615,9209049.8852459,2897356.85714286,8002762.84615385,3800604,3310863.03333333,4942002.93548387,9644679.86956522
"101",2020-05-27,9376829.64788732,3422807.85483871,7212522.17333333,10377833,10797808.5081967,3055852.60714286,8434699.53846154,3962299.67857143,3701102.93333333,4848761.5483871,10188501.826087
"102",2020-05-28,7312655.76056338,3041992.5,6429206.49333333,9224925.07692308,8591735.65573771,3248884.64285714,6774006.8,3455382,3263417.76666667,4482882.03225806,10716975.4347826
"103",2020-05-29,7755500.11267606,4932505.32258064,8618627.77333333,11495554.7307692,10470150.3606557,4276837.53571429,8725970.83076923,5856057.10714286,6373231.16666667,7252552.29032258,20346894.9565217
"104",2020-06-01,5359056.18309859,3265280.20967742,4488008.73333333,6118931.26923077,6926250.63934426,2356545.21428571,4632394.95384615,3346724.28571429,2798313.2,3384001.87096774,10611901.1304348
"105",2020-06-02,5966933.45070423,3301319.85483871,5608157.25333333,7032993.73076923,7551087.95081967,2663452.14285714,5625476.98461538,4677348.82142857,2985316.6,3830071.83870968,10733638.2608696
"106",2020-06-03,8266310.90140845,3198621.0483871,5489184.88,7813151.88461538,8981743.14754098,2570503.10714286,6688615.96923077,4343450.92857143,3457557.66666667,4176246.58064516,10674296.7826087
"107",2020-06-04,14761522.6056338,2989415.08064516,5375903.68,7479465.61538462,11138009.1147541,2867108.53571429,7266992.32307692,3252059.89285714,3532485.16666667,4293694.06451613,11026458.0869565
"108",2020-06-05,16790877.0422535,3662691.29032258,6623366.81333333,9487568.26923077,14250471.4918033,3331323.71428571,9925420.13846154,4655741.71428571,4886387,6082377.80645161,19668649.3478261
"109",2020-06-08,10803872.084507,3168632.35483871,5184000.26666667,8318202.53846154,10502804.4262295,3132568.67857143,7325854.21538462,3660748.75,3507731.96666667,5054668.19354839,20106939.6086957
"110",2020-06-09,8238793.95774648,2735886.35483871,5602209.18666667,7853383.11538462,9034706.29508197,3183903.14285714,6299869.01538462,3604071.89285714,2843170.96666667,4242064.80645161,14128610.5217391
"111",2020-06-10,10309831.6760563,2989955.32258065,6225331.06666667,7674510.92307692,11303339.7540984,3048101.35714286,7965279.23076923,3614816.64285714,3271271.1,4180393.35483871,12846062.2608696
"112",2020-06-11,10293487.7746479,4465747.80645161,7767383.12,10869089,11169555.8032787,3916010.28571429,9622710.78461538,4745272.89285714,3783320.3,5384167.5483871,15369957.3478261
"113",2020-06-12,9580771.23943662,3559482.91935484,6649646.98666667,8477499.34615385,9491938.31147541,3260145.53571429,6577421.72307692,3304585.89285714,2868410.7,4631092.32258064,12770476.0869565
"114",2020-06-15,8869647.97183099,3395964.87096774,5681533.81333333,8243102.46153846,8879920.95081967,3154862.71428571,6601847.66153846,3623860.32142857,3010348,4306759.12903226,12023558
"115",2020-06-16,8503816.05633803,3832592.27419355,6212184.90666667,8197518.23076923,9407842.32786885,3137820.32142857,6766152.38461538,3630636.64285714,2940495.06666667,4271826.19354839,12276330.3043478
"116",2020-06-17,6070628.85915493,2592370.96774194,5521832.65333333,7202271.11538462,6679595.03278689,2592761.14285714,5068275.92307692,2650960.82142857,2664559.4,3579606.16129032,9429894
"117",2020-06-18,5925033.95774648,2524088.53225806,4899506.82666667,6243205.46153846,6596361.47540984,2463749.71428571,4686514.56923077,2576773.96428571,3216404.86666667,4236066.87096774,8856582.95652174
"118",2020-06-19,9261257.16901409,5622477.87096774,9666998.78666667,14386067.9230769,11201467.704918,6750415.03571429,12533895.7692308,6211722,7692083.5,8015815.4516129,19018735
"119",2020-06-22,6759333.02816901,2676513.74193548,5053692.16,7102264.96153846,7121091.19672131,3061927.03571429,4836479.81538462,2876681.46428571,3089092.63333333,3797781.80645161,8327760.08695652
"120",2020-06-23,7858924.1971831,2850812.08064516,5700278.01333333,8713270.80769231,6582375.62295082,3057483.21428571,4858148.63076923,2820405.64285714,2760741.26666667,3765068.32258065,9176146.08695652
"121",2020-06-24,8625271.36619718,3290423.79032258,6111696.14666667,12202880.0384615,8046312.27868852,3438139.28571429,6347175.4,3179553,3289209.33333333,4225816.06451613,10905846.8695652
"122",2020-06-25,7065866.26760563,2900326.4516129,5113525.92,9700509.53846154,7014317.70491803,3422511.17857143,5631952.46153846,2923747.57142857,2612241.16666667,3702333.67741935,9009572.30434783
"123",2020-06-26,8630772.28169014,5103322.69354839,9441021.53333333,17145364.0769231,11532279.0655738,5042027.42857143,9643402.8,7181521.64285714,4052795.8,5884921.74193548,11991804.4347826
"124",2020-06-29,7101989.38028169,2531536.38709677,4835488.81333333,9560999.03846154,6783445.42622951,2632599.92857143,5429615.66153846,2829854.10714286,2437847.43333333,3524881.96774194,8412274.13043478
"125",2020-06-30,6104287.21126761,2868814.87096774,5870890.56,8893015.84615385,6319211.55737705,3321847.89285714,6013797.13846154,3234156.10714286,3321716.7,4599399.80645161,9571167.65217391
"126",2020-07-01,7850401.21126761,3259167.93548387,4712012.01333333,8564941.61538462,6730338.75409836,2725229.53571429,5340797.81538462,3164092.03571429,2483661.46666667,3625503.06451613,9267293.69565217
"127",2020-07-02,5621302.77464789,2525990.58064516,4386991.76,7692496.65384615,6225399.27868852,2136419.96428571,5127304.93846154,3408762.14285714,1916260.96666667,3435581.93548387,8437975.2173913
"128",2020-07-06,5440602.6056338,2436590.43548387,4686075.32,7621160.23076923,5964103.49180328,3311871.28571429,4973927.67692308,3740293.89285714,2094178.93333333,3380772.09677419,9605433.34782609
"129",2020-07-07,5073846.11267606,2408786.08064516,4538003.32,7384119.84615385,5436308.73770492,2850221.46428571,4902035.61538462,3575680.25,2141923.26666667,4561809.29032258,8261986
"130",2020-07-08,5447250.29577465,2494289.80645161,4416264.64,11058575.4230769,5513088.13114754,2549745.46428571,4778547.2,3464544.25,2402556.53333333,3888522.03225806,8266377.95652174
"131",2020-07-09,5610106.18309859,2450910.96774194,5661881.93333333,8403621.5,6522972.1147541,3018530.67857143,5355737,3297532.25,2306815.13333333,4460710.48387097,9859838.13043478
"132",2020-07-10,5855213.36619718,2208793.69354839,4423131.12,7926422.96153846,6557760.67213115,2220849,5750553.95384615,2468848.17857143,2306444.93333333,4080682.67741935,8679394.04347826
"133",2020-07-13,5544244.12676056,3208898.70967742,6154251.8,8932154.73076923,7354378.18032787,2772642.5,5819180.78461538,3820150.17857143,2139855.73333333,4303428.19354839,8573215.30434783
"134",2020-07-14,5194286.3943662,2748730.61290323,5724977.98666667,7651458.92307692,6820441.29508197,3466829.32142857,7292967.07692308,3065941.85714286,1955339,3980945.03225806,8895353.30434783
"135",2020-07-15,7786106.78873239,2679967.01612903,4993246.92,7718128.84615385,9359837.50819672,2739649.60714286,5981325.41538462,2919376.10714286,2622274.93333333,4043802.64516129,8657750.26086956
"136",2020-07-16,5055867.50704225,2112496.37096774,4140509.61333333,7455806.69230769,6938230.54098361,2203147.85714286,5267516.73846154,2605480.39285714,1861434.83333333,3068205.64516129,6472419.91304348
"137",2020-07-17,4762073.33802817,2606298.64516129,4211947.37333333,7237750.69230769,6121176.70491803,2797807.25,5092624.13846154,2446595.46428571,2022774.2,3443151.5483871,7479963.60869565
"138",2020-07-20,4193356.70422535,2353696.58064516,4386912.22666667,6427171.84615385,5529169.32786885,2167966.78571429,4497531.13846154,2551290.57142857,2120654.4,3188602.22580645,8523454.08695652
"139",2020-07-21,4866068.74647887,2295592.27419355,4746600.98666667,6705937.11538462,5843626.08196721,3898991.89285714,5818214.30769231,2347377.85714286,2083312.76666667,3850066.64516129,12570631.7391304
"140",2020-07-22,4238542.47887324,3270466.53225806,5976442.56,5722855.88461538,5231632.85245902,7679712.78571429,4748193.44615385,2512829.78571429,2219058.1,3446770.4516129,8342752.73913043
"141",2020-07-23,6261784.4084507,2917097.5,7072393.50666667,10813966.8846154,6850010.7704918,4205312,4992204.13846154,2696244.10714286,2006690.16666667,3297216.19354839,8421799.52173913
"142",2020-07-24,4308073.61971831,2497914.37096774,9515228.61333333,7358424.07692308,5017041.80327869,3504658.92857143,4251823.83076923,2610475.17857143,1922739.33333333,2933936.41935484,7232191.91304348
"143",2020-07-27,4671408.81690141,2430776.37096774,6478289.96,6975143.15384615,5873123.98360656,3758774.32142857,4477169.33846154,2757565.64285714,2340216.96666667,3275621.4516129,7455663.13043478
"144",2020-07-28,4823053.3943662,2780292.4516129,5667334.18666667,6264793.23076923,5749554.6557377,2821818.14285714,4212645.53846154,2462846.82142857,2217394.3,3437231.06451613,7302033.82608696
"145",2020-07-29,6095202.3943662,2741644.61290323,6496888.33333333,6065009.15384615,6045043.13114754,2427712.5,4844853.67692308,2460926.21428571,2422523.5,3354583.32258065,7341709.2173913
"146",2020-07-30,5591025.54929577,2565276.37096774,6134888.52,5908061,5348325.90163934,2480551.03571429,4828963.47692308,2820157,2306214.66666667,3707007.87096774,10549677.0434783
"147",2020-07-31,6003465.01408451,3189667.06451613,7469841.4,10051996.6538462,7510769.93442623,3837954.96428571,5771646.27692308,4156837.28571429,3933061.96666667,4600180.74193548,11081390.5652174
"148",2020-08-03,4899503.32394366,2768426.80645161,6521524.54666667,7162995.84615385,5484322.32786885,2295856.21428571,4254657.4,3038160.53571429,2020856.53333333,3301577.70967742,9665262.95652174
"149",2020-08-04,4488306.3943662,2594967.83870968,6766202.49333333,7032158.30769231,5533556.45901639,3116233.85714286,4035397.43076923,3547749.07142857,3258927.5,3489365.41935484,9122678.08695652
"150",2020-08-05,6621009.46478873,2616646.69354839,5151006,8149378.96153846,5682566.03278689,2912809.75,4207546.93846154,3939437.75,1966950,3258307.41935484,9677175.39130435
"151",2020-08-06,5972772.63380282,2607056.30645161,5692924.89333333,9009513.53846154,6410356.86885246,2845372.92857143,3981444.46153846,3761366.46428571,2079376.6,2679634.5483871,7608832.43478261
"152",2020-08-07,4619129.23943662,2364849.64516129,5579860.46666667,9677278.92307692,5163631.81967213,2941328.10714286,4734139.55384615,3107888.42857143,2159991.93333333,2819393.93548387,7767814.34782609
"153",2020-08-10,6783387.67605634,2261779.51612903,5848125.88,8443169.69230769,7051930.18032787,2865319.14285714,4573214.84615385,3114945.5,2568073.2,2882505.12903226,8723858.04347826
"154",2020-08-11,7730190.28169014,2623993.11290323,6068529.10666667,8561931.76923077,7649951,3139120.39285714,5931573.46153846,3547303.28571429,2488261.63333333,3599888.83870968,11169159.3913043
"155",2020-08-12,5188556.70422535,2124903.70967742,5613288.10666667,6128360.5,5790337.1147541,2666617.89285714,4797001.98461538,2331247.71428571,1705928.26666667,3006474.93548387,9096978
"156",2020-08-13,3806375.23943662,1855585.83870968,6431022.61333333,5444489.26923077,4433457.7704918,2430880.07142857,3762349.86153846,2566591.32142857,1663307.13333333,2611286.70967742,7457191.56521739
"157",2020-08-14,3539189.84507042,1715932.9516129,4447554.46666667,5554706.53846154,4158550.2295082,1867107.85714286,3413005.29230769,1783215.57142857,1898883.23333333,2715868.09677419,5917237.47826087
"158",2020-08-17,3742244.43661972,1945345.77419355,4287235.2,5254504.11538462,5485792.14754098,2439529.5,4176245.44615385,2286929.39285714,1904596.83333333,3064316.83870968,7504699.08695652
"159",2020-08-18,3080377.71830986,1721168.9516129,4398875.74666667,4712789.57692308,4675816.57377049,2342785.71428571,3604321.86153846,2039727.53571429,1786509.83333333,3682186.29032258,6859051.26086957
"160",2020-08-19,4082834.6056338,2144824.48387097,4789864.88,5963867.07692308,5812105.18032787,1965872.67857143,3940606.96923077,2834217.82142857,1956680.83333333,3265000.77419355,6723307.69565217
"161",2020-08-20,3570355.70422535,1914682.67741935,5085547.81333333,5349924.23076923,4716471.98360656,2098288,3721893.23076923,1939371.89285714,1593297.03333333,2657390,7093007.69565217
"162",2020-08-21,3530210.4084507,2376131.5483871,6223377.06666667,5261492.73076923,4553253.1147541,2629253.42857143,3783195.53846154,2087292.5,1591483.13333333,3260861.51612903,7648178.47826087
"163",2020-08-24,6053183.84507042,2226246.85483871,5316457.56,6408440.26923077,6570937.01639344,2017190.10714286,4465729.33846154,2328928.75,1730408.46666667,2775891.93548387,7416355
"164",2020-08-25,5045781.66197183,2231098.61290323,5096257.48,5849543.65384615,5303880.95081967,1782322.64285714,4064658.83076923,1872970.78571429,1781103.86666667,2776598.48387097,7150493.04347826
"165",2020-08-26,3549955.30985915,2205332.30645161,6023701.12,8601612.5,4683003.06557377,2224241.57142857,3467535.24615385,2039101.14285714,1625171.2,3205282.19354839,7072135.7826087
"166",2020-08-27,5526314.70422535,3075337.25806452,5589317.92,7003705.76923077,6037379.03278689,2233503.35714286,4287289.41538462,2085908.5,1680128.76666667,3954923.61290323,7603461.34782609
"167",2020-08-28,4339395.25352113,2500526.66129032,5202403.41333333,5309262.5,6016485.63934426,2121503.5,3642484.93846154,1975220.35714286,1753078.06666667,3504354.19354839,7192911.47826087
"168",2020-08-31,5065605.69014085,2969443.98387097,8929589.81333333,7317635.26923077,6909612.8852459,2555904.42857143,4356416.44615385,2437210.32142857,2223803.23333333,3823818.25806452,8357869.69565217
"169",2020-09-01,4746075.14084507,2915513.48387097,6662802.32,6847201.26923077,5818635.09836066,2157255.10714286,3773066.26153846,2897971.75,1694404.16666667,4362549.87096774,7323942.82608696
"170",2020-09-02,4582905.01408451,2976085.16129032,8487168.4,7910101.92307692,6503941.26229508,2905139.92857143,4555150.52307692,3594939.10714286,2322068.66666667,4507666.67741936,8299327.91304348
"171",2020-09-03,5972747.57746479,3223875.72580645,10739423.0133333,9090934.42307692,8904456.13114754,2811903.42857143,5917368.10769231,3178451.32142857,2267128.7,4940682.29032258,9940914.65217391
"172",2020-09-04,5079871.84507042,2877984.90322581,11690041.4933333,8728030.73076923,8182665.32786885,2404696.32142857,6120142.63076923,3181181.21428571,2104248.23333333,4229671.90322581,8899648.04347826
"173",2020-09-08,5812048.64788732,2793131.91935484,9547470.8,8890132.26923077,8836714.98360656,2640188.03571429,5877193.33846154,3037147.85714286,2323976.83333333,4653466.22580645,12112979.6956522
"174",2020-09-09,5253743.04225352,2388746.43548387,7823745.56,6715191.19230769,6266360.36065574,2617692.60714286,4507388.26153846,2463436.5,2263596.73333333,4568673.90322581,8806876.30434783
